ap_1,ap_2,ap_3,ap_4,ap_5,ap_6,ap_7,ap_8,ap_9,ap_10,ap_11,ap_12,ap_13,ap_14,ap_15,ap_16,ap_17,ap_18,ap_19,ap_20,ap_21,ap_22,ap_23,ap_24,ap_25,ap_26,ap_27,ap_28,ap_29,ap_30,ap_31,ap_32,ap_33,ap_34,ap_35,ap_36,ap_37,ap_38,ap_39,ap_40,ap_41,ap_42,ap_43,ap_44,ap_45,ap_46,ap_47,ap_48,ap_49,ap_50,ap_51,ap_52,ap_53,ap_54,ap_55,ap_56,ap_57,ap_58,ap_59,ap_60,ap_61,ap_62,ap_63,ap_64,ap_65,ap_66,ap_67,ap_68,ap_69,ap_70,spot
-55.0,-59.0,-86.0,-80.0,,-80.0,-83.0,-84.0,-66.0,-85.0,-78.0,,-82.0,,-74.0,,,,,,,-80.0,,,-82.0,,,,,,,,,,,,-80.0,-76.0,,-62.0,-76.0,-68.0,,-84.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,Lorong_L1
-62.0,-66.0,-63.0,-61.0,,-42.0,-55.0,-65.0,-76.0,-58.0,-53.0,-69.0,,-78.0,-38.0,,-87.0,,-85.0,,,,,,-70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorong_L1
-62.0,-80.0,-87.0,-55.0,,-59.0,-74.0,-68.0,-80.0,-71.0,-47.0,,,,-41.0,,,,,,,,-88.0,,-76.0,,,,,,,,,,,,,,-94.0,,,,-94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang NOC_L1
-71.0,-73.0,,-60.0,,-59.0,-69.0,-67.0,,-74.0,-44.0,,,,,,,,,,,-85.0,,-96.0,-78.0,,,,-96.0,,,,,,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang NOC_L1
-67.0,-70.0,,-58.0,,-62.0,-75.0,-70.0,-82.0,-72.0,-47.0,-91.0,,,,,,,,,,,,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang NOC_L1
-74.0,-76.0,,-56.0,,-58.0,-81.0,-68.0,-78.0,-67.0,-49.0,,,,-39.0,,,,,,,,,,-83.0,,,,,,,,,,,,,,-95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang NOC_L1
-62.0,-80.0,-87.0,-55.0,,-59.0,-74.0,-68.0,-80.0,-71.0,-47.0,,,,-41.0,,,,,,,,-88.0,,-76.0,,,,,,,,,,,,,,-94.0,,,,-94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang NOC_L1
-70.0,-74.0,-76.0,-39.0,,-49.0,-59.0,-39.0,-65.0,,-72.0,-82.0,-91.0,-90.0,-59.0,,-97.0,,-83.0,-91.0,-88.0,,,,,,,,,,,,,,,,,-91.0,,-79.0,-92.0,-84.0,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang Pengolah Data_L1
-65.0,-76.0,-74.0,-35.0,-87.0,-44.0,-59.0,-44.0,-66.0,-78.0,-67.0,,,-79.0,-52.0,,-96.0,-94.0,,,,,,,,,,,,,,,,,,,,-92.0,,-76.0,,,,-87.0,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,Ruang Pengolah Data_L1
-67.0,-79.0,-74.0,-36.0,,-34.0,-52.0,-41.0,-68.0,-82.0,-77.0,,-78.0,,-60.0,,-93.0,,-82.0,-84.0,-83.0,,,,,,,,,,,,-95.0,,,,-81.0,-88.0,,,-88.0,,,-78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang Pengolah Data_L1
-75.0,-91.0,-62.0,-51.0,-85.0,-35.0,-40.0,-55.0,-76.0,,-72.0,-65.0,,-71.0,-54.0,,-79.0,,-83.0,,,-90.0,,,,,,,,,,,,,,,-83.0,,,,,,,,,-87.0,,-91.0,,,,,,,,,,,,,,,,,,,,,,,Ruang Pengolah Data_L1
,,-61.0,-46.0,-80.0,-35.0,-38.0,-52.0,-74.0,-75.0,,-69.0,,-75.0,-50.0,,-82.0,,,,-87.0,,,,,,,,,,,,,,,,-83.0,,,,-89.0,,,-87.0,,,,,-96.0,,,,,,,,,,,,-94.0,,,,,,,,,,Ruang Pengolah Data_L1
-68.0,-80.0,-75.0,-38.0,,-47.0,-50.0,-42.0,-55.0,,-78.0,,,,,,,-95.0,-82.0,-87.0,-84.0,,,,,,,,,,,,,,,,-79.0,-87.0,,-73.0,-88.0,-78.0,,-80.0,-84.0,,,,-96.0,,,,,,,,,,,,,,,,,,,,,,Ruang Pengolah Data_L1
,,-61.0,,,,,,,,,-68.0,,-78.0,,-37.0,,,,,,,-72.0,-62.0,,,,,,,,,,,,,,,,,,,,,,,,-67.0,,-83.0,-80.0,-75.0,,,-81.0,-78.0,-74.0,,,,,,,,,,,,,,Gudang_L2
,,-58.0,,,,,,,,,,,-74.0,,-28.0,,,,,,-60.0,-69.0,-50.0,-85.0,,,,,,,,,,-72.0,,,,-79.0,,,,,,,,-70.0,-74.0,,,-79.0,,,,,,-66.0,-79.0,-84.0,,,-86.0,-69.0,,,,,,,,Gudang_L2
,,-53.0,,,,,,,,,-69.0,,-70.0,,-68.0,-84.0,,-71.0,,,,,,,,,,,,,,,,,,,,,,,-71.0,,,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,Gudang_L2
,,-54.0,,,,,,,-76.0,,-63.0,,-67.0,,-42.0,-78.0,,-62.0,,,-50.0,-81.0,-56.0,,-79.0,,,,,,,,,-51.0,,,,,,,,,,,,-77.0,,,,,-72.0,,,,,,,,,,,,,,,,,,,Lab Komputer_L2
